"source_name","status_in_customer_package","row_count","package_path","data_category","already_used_on_scholarshiptop","current_usage","could_use_for_scholarshiptop","best_page_targets","possible_fields_to_use","implementation_type","priority","risk","permission_status","recommended_action","notes"
"US Census ACS 5-year","CLOSED_LOCAL_PACKAGE_READY","35177","04_data_deliverable\02_local_normalized_sources\census_acs","state","yes","Live in state_affordability.json for median household income and population; used in state compare, scholarship state sidebars, resource/essay state context.","yes","/scholarships/[state]; /compare/states; /compare/states/[slug]; /resources/[slug]; /essays/[slug]","population, median_household_income, median_age, county/place/state identifiers","already_live","medium","low","permission_received_per_user_statement","use now","Already represented in Stage A/B/C static outputs. clean local normalized artifact included or ready in package"
"HUD Fair Market Rents API","CLOSED_LOCAL_PACKAGE_READY","2660","04_data_deliverable\02_local_normalized_sources\hud_fmr","cost_of_living","yes","Live in state_affordability.json and city_affordability.json for 1BR/2BR rent; used in state compare, scholarship sidebars, resource/essay context.","yes","/scholarships/[state]; /compare/states/[slug]; future city pages; resources/essays; charts","fmr_1br, fmr_2br, fmr_3br, fmr_4br, metro/state area, year","already_live","medium","low","permission_received_per_user_statement","use now","Already represented in Stage A/B/C static outputs. clean local normalized artifact included or ready in package"
"Zillow ZORI","CLOSED_SUPABASE_EXPORTED_LOCALLY","4432","04_data_deliverable\01_legacy_supabase_exports\zillow_zori","cost_of_living","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/scholarships/[state]; /compare/states/[slug]; future city pages; resources/essays; charts","metro/city, state, monthly rent series, latest rent, rent trend","static_json_extension","medium","medium","permission_received_per_user_statement","use later","Useful for rent trend blocks; normalize latest monthly values first."
"FBI Crime Data Explorer","CLOSED_LOCAL_PACKAGE_READY","1794600","04_data_deliverable\02_local_normalized_sources\fbi_crime","crime/public_safety","yes","Live as neutral public_safety_context in state_affordability.json; used on state compare and scholarship university/state context when available.","yes","/compare/states/[slug]; /scholarships/[state]; future city pages; neutral context only","geo_level, year, offense/category, count, rate_per_100k; neutral context only","already_live","medium","medium","permission_received_per_user_statement","use now","Already represented in Stage A/B/C static outputs. clean local normalized artifact included or ready in package"
"NOAA Climate Normals","CLOSED_SUPABASE_EXPORTED_LOCALLY","8421","04_data_deliverable\01_legacy_supabase_exports\noaa_climate","city/location","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","future city pages; /scholarships/[state]/[university]; resource examples; internal location joins","source-specific fields require downstream shaping before display","static_json_extension","medium","low","permission_received_per_user_statement","use now","clean .jsonl.gz export included"
"EPA AQI","CLOSED_SUPABASE_EXPORTED_LOCALLY","978","04_data_deliverable\01_legacy_supabase_exports\epa_aqi","city/location","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","future city pages; /scholarships/[state]/[university]; resource examples; internal location joins","source-specific fields require downstream shaping before display","static_json_extension","medium","low","permission_received_per_user_statement","use now","clean .jsonl.gz export included"
"MIT Living Wage Calculator","CLOSED_LOCAL_PACKAGE_READY","42984","04_data_deliverable\02_local_normalized_sources\mit_living_wage","cost_of_living","yes","Live in state_affordability.json for single-adult living wage; used in state compare and scholarship state sidebars.","yes","/scholarships/[state]; /compare/states/[slug]; future city pages; resources/essays; charts","living_wage_hourly, family_type, county/state, release date","already_live","medium","low","permission_received_per_user_statement","use now","Already represented in Stage A/B/C static outputs. clean local normalized artifact included or ready in package"
"BLS OES metro","CLOSED_SUPABASE_EXPORTED_LOCALLY","150176","04_data_deliverable\01_legacy_supabase_exports\bls_metro","salary/workforce","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/compare/states/[slug]; resource pages; essay examples; future workforce/medical scholarship pages","employment, annual_median_wage, annual_mean_wage, occupation, area, release","static_json_extension","medium","low","permission_received_per_user_statement","use later","clean .jsonl.gz export included"
"Walk Score API","BLOCKED_NEEDS_ACCESS_OR_TERMS","0","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"County Health Rankings (RWJ)","CLOSED_SUPABASE_EXPORTED_LOCALLY","3143","04_data_deliverable\01_legacy_supabase_exports\county_health_rankings","health/social_context","yes","Live only as lightweight health_context availability/count in state_affordability.json; not surfaced as rich health metrics.","yes","/scholarships/[state]; future city pages; resources/essays; future medical pages","county_fips, state, county, measure values if normalized, source year","already_live","medium","medium","permission_received_per_user_statement","use now","Already represented in Stage A/B/C static outputs. clean .jsonl.gz export included"
"CDC/ATSDR Social Vulnerability Index","CLOSED_SUPABASE_EXPORTED_LOCALLY","3144","04_data_deliverable\01_legacy_supabase_exports\cdc_svi","health/social_context","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/scholarships/[state]; future city pages; resources/essays; future medical pages","county_fips, state, county, overall_svi_percentile, theme percentiles, population","static_json_extension","medium","medium","permission_received_per_user_statement","use later","Present in package but Stage A output has social_vulnerability_context null; use county/state aggregate only with neutral wording."
"Neighborhood Atlas ADI","CLOSED_LOCAL_PACKAGE_READY","524297","04_data_deliverable\02_local_normalized_sources\adi","health/social_context","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/scholarships/[state]; future city pages; resources/essays; future medical pages","block_group, tract, county/state FIPS, adi_national_rank, adi_state_rank","static_json_extension","medium","medium","permission_received_per_user_statement","use later","Block-group granularity is powerful but must be aggregated before public display."
"USDA RUCA Codes","CLOSED_SUPABASE_EXPORTED_LOCALLY","85528","04_data_deliverable\01_legacy_supabase_exports\ruca","city/location","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","future city pages; /scholarships/[state]/[university]; resource examples; internal location joins","source-specific fields require downstream shaping before display","static_json_extension","medium","low","permission_received_per_user_statement","use now","clean .jsonl.gz export included"
"HRSA AHRF","CLOSED_LOCAL_PACKAGE_READY","3235","04_data_deliverable\02_local_normalized_sources\hrsa_ahrf","health/social_context","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/scholarships/[state]; future city pages; resources/essays; future medical pages","source-specific fields require downstream shaping before display","static_json_extension","medium","low","permission_received_per_user_statement","use later","clean local normalized artifact included or ready in package"
"GeoNames","CLOSED_LOCAL_PACKAGE_READY","104712","04_data_deliverable\02_local_normalized_sources\geonames","city/location","yes","Live in location_crosswalk.json as city aliases, IDs, lat/lng, population; used for joins, not visible as a standalone card.","yes","future city pages; /scholarships/[state]/[university]; resource examples; internal location joins","city, state, county, county_fips, lat, lng, population, aliases, timezone","already_live","medium","low","permission_received_per_user_statement","use now","Already represented in Stage A/B/C static outputs. clean local normalized artifact included or ready in package"
"AAMC MSAR API","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"AACOM","CLOSED_LOCAL_PACKAGE_READY","74","04_data_deliverable\03_newly_collected_sources\aacom_osteopathic_medical_schools","medical_school","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical school pages; pre-med resources; medical school scholarship pages; provider clusters","school_name, city, state, accreditation/status, degree type, website, admissions stats where available","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"LCME Directory","CLOSED_LOCAL_PACKAGE_READY","163","04_data_deliverable\03_newly_collected_sources\lcme","medical_school","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical school pages; pre-med resources; medical school scholarship pages; provider clusters","school_name, city, state, accreditation/status, degree type, website, admissions stats where available","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"COCA/AOA","CLOSED_LOCAL_PACKAGE_READY","73","04_data_deliverable\02_local_normalized_sources\coca","medical_school","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical school pages; pre-med resources; medical school scholarship pages; provider clusters","school_name, city, state, accreditation/status, degree type, website, admissions stats where available","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"ECFMG/WDOMS/FAIMER","CLOSED_LOCAL_PACKAGE_READY","222","04_data_deliverable\03_newly_collected_sources\wdoms_us_medical_schools","medical_school","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical school pages; pre-med resources; medical school scholarship pages; provider clusters","school_name, city, state, accreditation/status, degree type, website, admissions stats where available","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"College Scorecard API","CLOSED_LOCAL_PACKAGE_READY","6322","04_data_deliverable\03_newly_collected_sources\college_scorecard","school/university","yes","Live in school_enrichment.json, city_affordability.json, and location_crosswalk.json; used on compare universities, provider pages, scholarship university pages, resource/essay school context, and EducationalOrganization JSON-LD.","yes","/compare/universities; /compare/universities/[slug]; /providers/[id]; /scholarships/[state]/[university]; /resources/[slug]; /essays/[slug]; structured data","school_name, unit_id, city, state, tuition_in_state, tuition_out_of_state, admission_rate, completion_rate, median_earnings, avg_net_price, student_size, website","already_live","high","low","permission_received_per_user_statement","use now","Already represented in Stage A/B/C static outputs. official College Scorecard bulk CSV parsed and included in package; all schools snapshot, not limited to medical schools"
"NIH RePORTER","CLOSED_LOCAL_PACKAGE_READY","2503896","04_data_deliverable\03_newly_collected_sources\nih_reporter","research/institution","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/compare/universities/[slug]; /providers/[id]; future medical school pages; structured data identifiers","organization, project_count, funding totals by year, activity codes, institute/center, project titles aggregated only","compare_page_enrichment","medium","medium","permission_received_per_user_statement","use later","Huge file; aggregate by institution/year before adding to site."
"med.admit.org","CLOSED_LOCAL_PACKAGE_READY","709","04_data_deliverable\03_newly_collected_sources\admit_med_school_stats","medical_school","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical school pages; pre-med resources; medical school scholarship pages; provider clusters","school_name, city, state, accreditation/status, degree type, website, admissions stats where available","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"AAMC FACTS Tables","CLOSED_LOCAL_PACKAGE_READY","392","04_data_deliverable\03_newly_collected_sources\aamc_facts_2025","research/institution","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/compare/universities/[slug]; /providers/[id]; future medical school pages; structured data identifiers","source-specific fields require downstream shaping before display","compare_page_enrichment","medium","low","permission_received_per_user_statement","use later","AAMC official Excel tables downloaded and normalized locally; 3 workbooks"
"FREIDA survey","CLOSED_LOCAL_PACKAGE_READY","22364","04_data_deliverable\03_newly_collected_sources\freida_people","residency_only","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical/residency vertical only","program/institution/specialty fields; not relevant to current scholarship pages","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"FSMB DocInfo","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"ABMS Certification Matters","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"CMS Open Payments","CLOSED_LOCAL_PACKAGE_READY","158208","04_data_deliverable\03_newly_collected_sources\cms_open_payments_teaching_hospitals","hospital_only","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical/provider vertical only","hospital/facility/physician-service fields; future medical/provider vertical only","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"OIG LEIE","CLOSED_LOCAL_PACKAGE_READY","n/a","04_data_deliverable\03_newly_collected_sources\oig_leie","provider/organization","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/providers/[id]; future provider clusters; future medical/provider compare","organization name, location, identifiers, ownership/type, quality/designation fields where appropriate","provider_enrichment","medium","medium","permission_received_per_user_statement","use now","clean local normalized artifact included or ready in package"
"PubMed/NCBI Entrez","NOT_STARTED","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"NRMP Charting Outcomes","DOWNSTREAM_NOT_PARSER","n/a","no normalized deliverable; downstream/computed only","not_useful","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","ignore","low","low","n/a downstream/computed","downstream only","Computed concept, not a parser source; derive later from approved display datasets."
"NRMP SMS (Fellowship Match)","DOWNSTREAM_NOT_PARSER","n/a","no normalized deliverable; downstream/computed only","not_useful","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","ignore","low","low","n/a downstream/computed","downstream only","Computed concept, not a parser source; derive later from approved display datasets."
"ACGME Data Resource Book","DOWNSTREAM_NOT_PARSER","n/a","no normalized deliverable; downstream/computed only","not_useful","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","ignore","low","low","n/a downstream/computed","downstream only","Computed concept, not a parser source; derive later from approved display datasets."
"AAMC Report on Residents (Tables B1–B7, C4–C6)","CLOSED_LOCAL_PACKAGE_READY","1575","04_data_deliverable\03_newly_collected_sources\aamc_report_residents_2025","salary/workforce","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/compare/states/[slug]; resource pages; essay examples; future workforce/medical scholarship pages","source-specific fields require downstream shaping before display","static_json_extension","medium","low","permission_received_per_user_statement","use later","AAMC official Excel tables downloaded and normalized locally; 9 workbooks"
"Doximity Physician Compensation Report","DOWNSTREAM_NOT_PARSER","n/a","no normalized deliverable; downstream/computed only","not_useful","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","ignore","low","low","n/a downstream/computed","downstream only","Computed concept, not a parser source; derive later from approved display datasets."
"AMA Burnout Survey","DOWNSTREAM_NOT_PARSER","n/a","no normalized deliverable; downstream/computed only","not_useful","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","ignore","low","low","n/a downstream/computed","downstream only","Computed concept, not a parser source; derive later from approved display datasets."
"NPDB Public Use Data File","DOWNSTREAM_NOT_PARSER","n/a","no normalized deliverable; downstream/computed only","not_useful","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","ignore","low","low","n/a downstream/computed","downstream only","Computed concept, not a parser source; derive later from approved display datasets."
"CMSS/OPDA PD Guides","DOWNSTREAM_NOT_PARSER","n/a","no normalized deliverable; downstream/computed only","not_useful","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","ignore","low","low","n/a downstream/computed","downstream only","Computed concept, not a parser source; derive later from approved display datasets."
"HRSA Workforce Projections","DOWNSTREAM_NOT_PARSER","n/a","no normalized deliverable; downstream/computed only","not_useful","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","ignore","low","low","n/a downstream/computed","downstream only","Computed concept, not a parser source; derive later from approved display datasets."
"AAMC Residency Explorer","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"ACGME Resident/Fellow Survey (per-program)","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"Doximity Reviews","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"ACGME Cloud Analytics","DOWNSTREAM_NOT_PARSER","n/a","no normalized deliverable; downstream/computed only","not_useful","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","ignore","low","low","n/a downstream/computed","downstream only","Computed concept, not a parser source; derive later from approved display datasets."
"MGMA Compensation","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"AAN Fellowship Directory","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"AAAAI Fellowship Directory","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"Thalamus","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"ACS NSQIP per-hospital","DOWNSTREAM_NOT_PARSER","n/a","no normalized deliverable; downstream/computed only","not_useful","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","ignore","low","low","n/a downstream/computed","downstream only","Computed concept, not a parser source; derive later from approved display datasets."
"AAMC Residency Explorer download","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"CMS Hospital Price Transparency MRFs","DOWNSTREAM_NOT_PARSER","n/a","no normalized deliverable; downstream/computed only","not_useful","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","ignore","low","medium","n/a downstream/computed","downstream only","Computed concept, not a parser source; derive later from approved display datasets."
"NRMP Charting Outcomes","DOWNSTREAM_NOT_PARSER","n/a","no normalized deliverable; downstream/computed only","not_useful","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","ignore","low","low","n/a downstream/computed","downstream only","Computed concept, not a parser source; derive later from approved display datasets."
"AAMC GQ","DOWNSTREAM_NOT_PARSER","n/a","no normalized deliverable; downstream/computed only","not_useful","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","ignore","low","low","n/a downstream/computed","downstream only","Computed concept, not a parser source; derive later from approved display datasets."
"ACGME Data Resource Book","DOWNSTREAM_NOT_PARSER","n/a","no normalized deliverable; downstream/computed only","not_useful","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","ignore","low","low","n/a downstream/computed","downstream only","Computed concept, not a parser source; derive later from approved display datasets."
"AAMC Report on Residents","CLOSED_LOCAL_PACKAGE_READY","1575","04_data_deliverable\03_newly_collected_sources\aamc_report_residents_2025","salary/workforce","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/compare/states/[slug]; resource pages; essay examples; future workforce/medical scholarship pages","source-specific fields require downstream shaping before display","static_json_extension","medium","low","permission_received_per_user_statement","use later","AAMC official Excel tables downloaded and normalized locally; 9 workbooks"
"AMA Burnout Survey","DOWNSTREAM_NOT_PARSER","n/a","no normalized deliverable; downstream/computed only","not_useful","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","ignore","low","low","n/a downstream/computed","downstream only","Computed concept, not a parser source; derive later from approved display datasets."
"HRSA Workforce Projections","DOWNSTREAM_NOT_PARSER","n/a","no normalized deliverable; downstream/computed only","not_useful","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","ignore","low","low","n/a downstream/computed","downstream only","Computed concept, not a parser source; derive later from approved display datasets."
"NPDB Public Use Data","DOWNSTREAM_NOT_PARSER","n/a","no normalized deliverable; downstream/computed only","not_useful","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","ignore","low","low","n/a downstream/computed","downstream only","Computed concept, not a parser source; derive later from approved display datasets."
"Doximity Compensation Report","DOWNSTREAM_NOT_PARSER","n/a","no normalized deliverable; downstream/computed only","not_useful","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","ignore","low","low","n/a downstream/computed","downstream only","Computed concept, not a parser source; derive later from approved display datasets."
"CIR-SEIU Member Institution List","CLOSED_LOCAL_PACKAGE_READY","232","04_data_deliverable\03_newly_collected_sources\cir_seiu_member_institutions","residency_only","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical/residency vertical only","program/institution/specialty fields; not relevant to current scholarship pages","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"NLRB Public Case Search","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"Becker's/Jacobin Tracking","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"AAMC ERAS Statistics — Signal Reports","DOWNSTREAM_NOT_PARSER","n/a","no normalized deliverable; downstream/computed only","not_useful","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","ignore","low","low","n/a downstream/computed","downstream only","Computed concept, not a parser source; derive later from approved display datasets."
"AAMC ERAS Participating Specialties & Programs","DOWNSTREAM_NOT_PARSER","n/a","no normalized deliverable; downstream/computed only","not_useful","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","ignore","low","low","n/a downstream/computed","downstream only","Computed concept, not a parser source; derive later from approved display datasets."
"Thalamus","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"CMSS/OPDA PD Specialty Guides","CLOSED_LOCAL_PACKAGE_READY","60","04_data_deliverable\03_newly_collected_sources\cmss_opda_pd_guides_2025_2026","residency_only","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical/residency vertical only","program/institution/specialty fields; not relevant to current scholarship pages","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"CMS HCAHPS Star Ratings","CLOSED_SUPABASE_EXPORTED_LOCALLY","325856","04_data_deliverable\01_legacy_supabase_exports\cms_hospital_hcahps","provider/organization","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/providers/[id]; future provider clusters; future medical/provider compare","organization name, location, identifiers, ownership/type, quality/designation fields where appropriate","provider_enrichment","medium","medium","permission_received_per_user_statement","use later","clean .jsonl.gz export included"
"AAMC Supplemental ERAS Application Data","DOWNSTREAM_NOT_PARSER","n/a","no normalized deliverable; downstream/computed only","not_useful","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","ignore","low","low","n/a downstream/computed","downstream only","Computed concept, not a parser source; derive later from approved display datasets."
"ERAS 2026 Supplemental Questions by Specialty","DOWNSTREAM_NOT_PARSER","n/a","no normalized deliverable; downstream/computed only","not_useful","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","ignore","low","low","n/a downstream/computed","downstream only","Computed concept, not a parser source; derive later from approved display datasets."
"Thalamus per-program data","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"AAMC ERAS signal data per-program","DOWNSTREAM_NOT_PARSER","n/a","no normalized deliverable; downstream/computed only","not_useful","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","ignore","low","low","n/a downstream/computed","downstream only","Computed concept, not a parser source; derive later from approved display datasets."
"NLRB per-program salary/contract terms","DOWNSTREAM_NOT_PARSER","n/a","no normalized deliverable; downstream/computed only","not_useful","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","ignore","low","low","n/a downstream/computed","downstream only","Computed concept, not a parser source; derive later from approved display datasets."
"DOL OFLC LCA Disclosure Files","CLOSED_SUPABASE_EXPORTED_LOCALLY","210387","04_data_deliverable\01_legacy_supabase_exports\dol_oflc_lca","salary/workforce","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/compare/states/[slug]; resource pages; essay examples; future workforce/medical scholarship pages","source-specific fields require downstream shaping before display","static_json_extension","medium","low","permission_received_per_user_statement","use now","clean .jsonl.gz export included"
